game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
1,2025-09-17T00:14:53.618535,root,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Emily': 1, 'Lucas': 4}"
2,2025-09-17T00:15:03.983637,crane,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 3, 'Sarah': 2}"
3,2025-09-17T00:16:43.822865,Neuroscience,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Sarah': 1}"
4,2025-09-17T00:17:13.181484,trunk,mister_white,Emily,mistral,mistral-tiny,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
5,2025-09-17T00:17:22.916504,trunk,mister_white,Emily,mistral,open-mixtral-8x22b,John,mistral,mistral-medium-latest,5,"{'John': 4, 'Sarah': 1}"
6,2025-09-17T00:18:39.149890,phase,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 4, 'Lucas': 1}"
7,2025-09-17T00:18:47.964750,token,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'Sarah': 2, 'John': 3}"
8,2025-09-17T00:19:50.409403,charge,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 3, 'Sarah': 1, 'Martin': 1}"
9,2025-09-17T00:19:59.203860,ring,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
10,2025-09-17T00:21:18.966132,medium,mister_white,Emily,mistral,open-mixtral-8x22b,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Lucas': 1, 'Martin': 1}"
11,2025-09-17T00:21:30.829120,token,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 4, 'Martin': 1}"
12,2025-09-17T00:22:50.123971,channel,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,{'John': 5}
13,2025-09-17T00:23:05.786912,model,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 4, 'Sarah': 1}"
14,2025-09-17T00:23:15.817961,organ,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 4, 'Sarah': 1}"
15,2025-09-17T00:24:11.414412,Pillow,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 3, 'Lucas': 1, 'Sarah': 1}"
16,2025-09-17T00:24:36.864135,bank,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
17,2025-09-17T00:25:43.993235,bond,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, 'Sarah': 1}"
18,2025-09-17T00:25:53.054110,matrix,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 3, 'Emily': 1, 'Sarah': 1}"
19,2025-09-17T00:27:30.288809,draft,mister_white,Emily,mistral,mistral-tiny,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Emily': 1, 'Martin': 1}"
20,2025-09-17T00:27:38.920352,bluff,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
21,2025-09-17T00:27:50.354918,delta,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,"{'Emily': 3, 'John': 2}"
22,2025-09-17T00:28:42.476014,pitch,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'John': 1, 'Sarah': 3, 'Martin': 1}"
23,2025-09-17T00:28:51.303127,crane,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 3, 'John': 2}"
24,2025-09-17T00:29:01.601807,bug,mister_white,Emily,mistral,mistral-tiny,Martin,mistral,mistral-large-latest,5,"{'Martin': 3, 'Sarah': 2}"
25,2025-09-17T00:29:15.304998,mold,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
26,2025-09-17T00:29:24.941696,root,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 3, 'Sarah': 2}"
27,2025-09-17T00:29:33.196807,seal,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 2, 'Sarah': 2, 'Martin': 1}"
28,2025-09-17T00:29:43.372413,note,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 3, 'Sarah': 2}"
29,2025-09-17T00:29:52.126997,bark,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
30,2025-09-17T00:30:00.783703,cache,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
31,2025-09-17T00:30:13.645219,orbit,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
32,2025-09-17T00:30:29.788707,apple,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
33,2025-09-17T00:30:40.198378,Generosity,mister_white,Emily,mistral,mistral-large-latest,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Emily': 1, 'Martin': 1}"
34,2025-09-17T00:30:49.408807,token,mister_white,Emily,mistral,mistral-tiny,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Martin': 1}"
35,2025-09-17T00:30:58.311775,matrix,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 4, 'Sarah': 1}"
36,2025-09-17T00:31:08.258303,cache,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Sarah': 1, 'Lucas': 3, 'Martin': 1}"
37,2025-09-17T00:31:16.994481,mint,mister_white,Emily,mistral,mistral-medium-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 2, 'John': 1, 'Emily': 1, 'Martin': 1}"
38,2025-09-17T00:31:25.720725,bluff,mister_white,Emily,mistral,mistral-large-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Martin': 1}"
39,2025-09-17T00:31:34.058703,flux,mister_white,Emily,mistral,mistral-tiny,John,mistral,mistral-medium-latest,5,"{'John': 3, 'Martin': 2}"
40,2025-09-17T00:31:59.182064,bank,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
41,2025-09-17T00:32:09.014977,medium,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Sarah': 1, 'Lucas': 4}"
42,2025-09-17T00:32:19.286318,root,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, 'Sarah': 1}"
43,2025-09-17T00:32:27.250626,flux,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
44,2025-09-17T00:32:35.090721,France,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
45,2025-09-17T00:32:42.948812,volume,mister_white,Emily,mistral,open-mixtral-8x22b,Sarah,mistral,mistral-tiny,5,"{'Sarah': 4, 'Martin': 1}"
46,2025-09-17T00:32:53.789646,mole,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Lucas': 3, 'Emily': 2}"
47,2025-09-17T00:33:00.385136,Generosity,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
48,2025-09-17T00:33:48.658917,cell,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Martin': 1}"
49,2025-09-17T00:34:15.892051,cache,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
50,2025-09-17T00:34:23.820406,Generosity,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 4, 'Sarah': 1}"
51,2025-09-17T00:36:17.138265,terminal,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,"{'Sarah': 2, 'Emily': 3}"
52,2025-09-17T00:36:25.653153,trunk,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,{'Sarah': 5}
53,2025-09-17T00:36:34.331546,mole,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 2, 'John': 1, 'Martin': 1, 'Lucas': 1}"
54,2025-09-17T00:36:42.256954,phase,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
55,2025-09-17T00:36:52.871357,crane,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 3, 'Sarah': 2}"
56,2025-09-17T00:37:00.967630,War,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
57,2025-09-17T00:37:11.595276,cache,mister_white,Emily,mistral,mistral-medium-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 2, 'Sarah': 2, 'John': 1}"
